Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"DeepBrainPrint: A Novel Contrastive Framework for Brain MRI Re-Identification","DeepBrainPrint effectively retrieves brain MRI scans of the same patient, outperforming previous methods and advanced contrastive deep learning frameworks.","Lemuel Puglisi, F. Barkhof, Daniel C. Alexander, Geoffrey J. M. Parker, A. Eshaghi, Daniele Ravì",2023,7,"Recent advances in MRI have led to the creation of large datasets. With the increase in data volume, it has become difficult to locate previous scans of the same patient within these datasets (a process known as re-identification). To address this issue, we propose an AI-powered medical imaging retrieval framework called DeepBrainPrint, which is designed to retrieve brain MRI scans of the same patient. Our framework is a semi-self-supervised contrastive deep learning approach with three main innovations. First, we use a combination of self-supervised and supervised paradigms to create an effective brain fingerprint from MRI scans that can be used for real-time image retrieval. Second, we use a special weighting function to guide the training and improve model convergence. Third, we introduce new imaging transformations to improve retrieval robustness in the presence of intensity variations (i.e. different scan contrasts), and to account for age and disease progression in patients. We tested DeepBrainPrint on a large dataset of T1-weighted brain MRIs from the Alzheimer's Disease Neuroimaging Initiative (ADNI) and on a synthetic dataset designed to evaluate retrieval performance with different image modalities. Our results show that DeepBrainPrint outperforms previous methods, including simple similarity metrics and more advanced contrastive deep learning frameworks.","","","","10.48550/arxiv.2302.13057","https://consensus.app/papers/deepbrainprint-a-novel-contrastive-framework-for-brain-puglisi-barkhof/92213052a80e56dea69885d802ada391/"
"MR-CLIP: Efficient Metadata-Guided Learning of MRI Contrast Representations","MR-CLIP effectively learns contrast-aware representations from MR images and DICOM metadata, improving image interpretation and enabling advanced clinical applications.","Mehmet Yigit Avci, Pedro Borges, P. Wright, Mehmet Yiğitsoy, S. Ourselin, M. Cardoso",2025,5,"Accurate interpretation of Magnetic Resonance Imaging scans in clinical systems is based on a precise understanding of image contrast. This contrast is primarily governed by acquisition parameters, such as echo time and repetition time, which are stored in the DICOM metadata. To simplify contrast identification, broad labels such as T1-weighted or T2-weighted are commonly used, but these offer only a coarse approximation of the underlying acquisition settings. In many real-world datasets, such labels are entirely missing, leaving raw acquisition parameters as the only indicators of contrast. Adding to this challenge, the available metadata is often incomplete, noisy, or inconsistent. The lack of reliable and standardized metadata complicates tasks such as image interpretation, retrieval, and integration into clinical workflows. Furthermore, robust contrast-aware representations are essential to enable more advanced clinical applications, such as achieving modality-invariant representations and data harmonization. To address these challenges, we propose MR-CLIP, a multimodal contrastive learning framework that aligns MR images with their DICOM metadata to learn contrast-aware representations, without relying on manual labels. Trained on a diverse clinical dataset that spans various scanners and protocols, MR-CLIP captures contrast variations across acquisitions and within scans, enabling anatomy-invariant representations. We demonstrate its effectiveness in cross-modal retrieval and contrast classification, highlighting its scalability and potential for further clinical applications. The code and weights are publicly available at https://github.com/myigitavci/MR-CLIP.","","","","10.48550/arxiv.2507.00043","https://consensus.app/papers/mrclip-efficient-metadataguided-learning-of-mri-contrast-avci-borges/828985bb5ca95a4bb5a73f994b8b2cd9/"
"A Unified Conditional Disentanglement Framework For Multimodal Brain Mr Image Translation","Our unified conditional disentanglement framework effectively synthesizes any arbitrary MRI modality from an input modality, improving image quality and tumor segmentation.","Xiaofeng Liu, Fangxu Xing, G. Fakhri, Jonghye Woo",2021,39,"Multimodal MRI provides complementary and clinically relevant information to probe tissue condition and to characterize various diseases. However, it is often difficult to acquire sufficiently many modalities from the same subject due to limitations in study plans, while quantitative analysis is still demanded. In this work, we propose a unified conditional disentanglement framework to synthesize any arbitrary modality from an input modality. Our framework hinges on a cycle-constrained conditional adversarial training approach, where it can extract a modality-invariant anatomical feature with a modality-agnostic encoder and generate a target modality with a conditioned decoder. We validate our framework on four MRI modalities, including T1-weighted, T1 contrast enhanced, T2-weighted, and FLAIR MRI, from the BraTS'18 database, showing superior performance on synthesis quality over the comparison methods. In addition, we report results from experiments on a tumor segmentation task carried out with synthesized data.","","2021 IEEE 18th International Symposium on Biomedical Imaging (ISBI)","","10.1109/isbi48211.2021.9433897","https://consensus.app/papers/a-unified-conditional-disentanglement-framework-for-liu-xing/a7e5a22a47bd5fbbab10f8647a534112/"
"Multimodal MRI Synthesis Using Unified Generative Adversarial Networks","The proposed unified generative adversarial network effectively synthesizes multimodal MR images from a single MR image, improving diagnostic accuracy and treatment planning.","X. Dai, Y. Lei, Yabo Fu, W. Curran, Tian Liu, H. Mao, Xiaofeng Yang",2020,90,"Purpose: Complementary information obtained from multiple contrasts of tissue facilitates physicians assessing, diagnosing and planning treatment of a variety of diseases. However, acquiring multiple contrasts magnetic resonance images (MRI) for every patient using multiple pulse sequences is time-consuming and expensive, where, medical image synthesis has been demonstrated as an effective alternative. The purpose of this study is to develop a unified framework for multimodal MR image synthesis.

Methods: A unified generative adversarial network consisting of only a single generator and a single discriminator was developed to learn the mappings among images of four different modalities. The generator took an image and its modality label as inputs and learned to synthesize the image in the target modality, while the discriminator was trained to distinguish between real and synthesized images and classify them to their corresponding modalities. The network was trained and tested using multimodal brain MRI consisting of four different contrasts which are T1-weighted (T1), T1-weighted and contrast-enhanced (T1c), T2-weighted (T2), and fluid-attenuated inversion recovery (Flair). Quantitative assessments of our proposed method were made through computing normalized mean absolute error (NMAE), peak signal-to-noise ratio (PSNR), structural similarity index measurement (SSIM), visual information fidelity (VIF), and naturalness image quality evaluator (NIQE).

Results: The proposed model was trained and tested on a cohort of 274 glioma patients with well-aligned multi-types of MRI scans. After the model was trained, tests were conducted by using each of T1, T1c, T2, Flair as a single input modality to generate its respective rest modalities. Our proposed method shows high accuracy and robustness for image synthesis with arbitrary MRI modality that is available in the database as input. For example, with T1 as input modality, the NMAEs for the generated T1c, T2, Flair respectively are 0.034 ± 0.005, 0.041 ± 0.006, and 0.041 ± 0.006, the PSNRs respectively are 32.353 ± 2.525 dB, 30.016 ± 2.577 dB, and 29.091 ± 2.795 dB, the SSIMs are 0.974 ± 0.059, 0.969 ± 0.059, and 0.959 ± 0.059, the VIF are 0.750 ± 0.087, 0.706 ± 0.097, and 0.654 ± 0.062, and NIQE are 1.396 ± 0.401, 1.511 ± 0.460, and 1.259 ± 0.358, respectively.

Conclusions: We proposed a novel multimodal MR image synthesis method based on a unified generative adversarial network. The network takes an image and its modality label as inputs and synthesizes multimodal images in a single forward pass. The results demonstrate that the proposed method is able to accurately synthesize multimodal MR images from a single MR image.

© 2020 American Association of Physicists in Medicine.","","Medical physics","1","10.1002/mp.14539","https://consensus.app/papers/multimodal-mri-synthesis-using-unified-generative-dai-lei/cc5412a7d7e25a7a8aeb2699235233d5/"
"Cross-Modal Brain Mri Synthesis Via Contrastive Disentanglement and Conditional Diffusion","","Peeyush Kumar Singh, Inam Ul Haq Gulzar, Sneha Singh, Aditya Nigam, Pankaj Gupta",2026,0,"Cross-modal brain magnetic resonance imaging (MRI) synthesis remains challenging due to the complex interplay between anatomical structures and modality-specific contrast patterns. We propose a two-phase framework that separates anatomical and contrast representations through contrastive learning and conditional diffusion. Phase 1 uses contrastive disentanglement with dual projection heads to separate anatomy (patient-specific structure) from contrast (modality-specific appearance), reinforced by adversarial training. A learnable contrast bank stores modality prototypes independent of anatomical content. Phase 2 employs a conditional diffusion model that synthesizes target images by combining source anatomy features with target contrast codes from the bank. Training integrates anatomy-invariant and contrast-invariant contrastive losses and adversarial modality classification to enforce clear disentanglement. Evaluated on multi-modal brain MRI data (T1-w, T1ce, T2-w, FLAIR), our approach achieves one-to-many synthesis, allowing a single source modality to generate multiple target modalities without relying on source intensity patterns. The disentangled representation leads to better generalization and more realistic contrast-specific patterns than traditional entangled feature representation models.","","2026 IEEE 23rd International Symposium on Biomedical Imaging (ISBI)","","10.1109/isbi61048.2026.11515667","https://consensus.app/papers/crossmodal-brain-mri-synthesis-via-contrastive-singh-gulzar/342e017031d057f68ac03b3e3b2d5a12/"
"Brain MR Image Synthesis with 3D Multi-Contrast Self-Attention GAN","","Zaid A. Abod, F. Aziz",2026,0,"Complete and high-quality multi-modal Magnetic Resonance Imaging (MRI) is essential for accurate neuro-oncological assessment, as each contrast provides complementary anatomical and pathological information. However, acquiring all modalities (e.g., T1c, T1n, T2w, T2f) for every patient is often impractical due to prolonged scan times, cost, and patient discomfort, potentially limiting comprehensive tumour evaluation. We propose 3D-MC-SAGAN (3D Multi-Contrast Self-Attention Generative Adversarial Network), a unified 3D multi-contrast synthesis framework that generates high-fidelity missing modalities from a single T2w input while explicitly preserving tumour characteristics. The model employs a multi-scale 3D encoder--decoder generator with residual connections and a novel Memory-Bounded Hybrid Attention (MBHA) block to capture long-range dependencies efficiently, and is trained with a WGAN-GP critic and an auxiliary domain classification head to produce T2f, T1n, and T1c volumes within a unified network. To ensure anatomical and pathological fidelity, we incorporate a frozen 3D U-Net-based segmentation network that enforces a tumour-consistency constraint during training. A composite objective combining adversarial, reconstruction, perceptual, structural similarity, contrast-classification, and segmentation-guided losses further promotes both global realism and tumour-preserving structure. Extensive experiments on 3D brain MRI datasets demonstrate that 3D-MC-SAGAN achieves state-of-the-art quantitative performance and produces visually coherent, anatomically plausible contrasts with improved distributional realism. Importantly, the proposed method maintains tumour segmentation accuracy comparable to that achieved using fully acquired multi-modal inputs, highlighting its potential to reduce acquisition burden while preserving clinically meaningful information.","","","","","https://consensus.app/papers/brain-mr-image-synthesis-with-3d-multicontrast-abod-aziz/53c5acf060bf53ad9868e9a14d855f90/"
"SynthMorph: Learning Contrast-Invariant Registration Without Acquired Images","This study presents a strategy for learning image registration without acquired imaging data, producing powerful networks that accurately generalize to a broad array of MRI contrasts, surpassing state-of-the-art performance.","Malte Hoffmann, Benjamin Billot, D. Greve, J. E. Iglesias, B. Fischl, Adrian V. Dalca",2020,265,"We introduce a strategy for learning image registration without acquired imaging data, producing powerful networks agnostic to contrast introduced by magnetic resonance imaging (MRI). While classical registration methods accurately estimate the spatial correspondence between images, they solve an optimization problem for every new image pair. Learning-based techniques are fast at test time but limited to registering images with contrasts and geometric content similar to those seen during training. We propose to remove this dependency on training data by leveraging a generative strategy for diverse synthetic label maps and images that exposes networks to a wide range of variability, forcing them to learn more invariant features. This approach results in powerful networks that accurately generalize to a broad array of MRI contrasts. We present extensive experiments with a focus on 3D neuroimaging, showing that this strategy enables robust and accurate registration of arbitrary MRI contrasts even if the target contrast is not seen by the networks during training. We demonstrate registration accuracy surpassing the state of the art both within and across contrasts, using a single model. Critically, training on arbitrary shapes synthesized from noise distributions results in competitive performance, removing the dependency on acquired data of any kind. Additionally, since anatomical label maps are often available for the anatomy of interest, we show that synthesizing images from these dramatically boosts performance, while still avoiding the need for real intensity images. Our code is available at doic https://w3id.org/synthmorph.","","IEEE transactions on medical imaging","1","10.1109/tmi.2021.3116879","https://consensus.app/papers/synthmorph-learning-contrastinvariant-registration-hoffmann-billot/dd95597e50335ccfa3a984d8303c80f9/"
"SynthSeg: Segmentation of brain MRI scans of any contrast and resolution without retraining","SynthSeg is a robust segmentation CNN that can segment brain MRI scans of any contrast and resolution without retraining or fine-tuning, enabling straightforward analysis of heterogeneous clinical data.","Benjamin Billot, D. Greve, O. Puonti, A. Thielscher, K. Van Leemput, B. Fischl, Adrian V. Dalca, J. E. Iglesias",2021,589,"","","Medical image analysis","1","10.1016/j.media.2023.102789","https://consensus.app/papers/synthseg-segmentation-of-brain-mri-scans-of-any-contrast-billot-greve/2f0bf842bcd053f4a4c161bc178c96f1/"
"HACA3: A unified approach for multi-site MR image harmonization","HACA3 effectively combines anatomy fusion and robustness to imaging artifacts to achieve multi-site MR image harmonisation across diverse datasets.","Lianrui Zuo, Yihao Liu, Yuan Xue, B. Dewey, Murat Bilgel, E. Mowry, S. Newsome, P. Calabresi, S. Resnick, Jerry L Prince, A. Carass",2022,51,"The lack of standardization and consistency of acquisition is a prominent issue in magnetic resonance (MR) imaging. This often causes undesired contrast variations in the acquired images due to differences in hardware and acquisition parameters. In recent years, image synthesis-based MR harmonization with disentanglement has been proposed to compensate for the undesired contrast variations. The general idea is to disentangle anatomy and contrast information from MR images to achieve cross-site harmonization. Despite the success of existing methods, we argue that major improvements can be made from three aspects. First, most existing methods are built upon the assumption that multi-contrast MR images of the same subject share the same anatomy. This assumption is questionable, since different MR contrasts are specialized to highlight different anatomical features. Second, these methods often require a fixed set of MR contrasts for training (e.g., both T1-weighted and T2-weighted images), limiting their applicability. Lastly, existing methods are generally sensitive to imaging artifacts. In this paper, we present Harmonization with Attention-based Contrast, Anatomy, and Artifact Awareness (HACA3), a novel approach to address these three issues. HACA3 incorporates an anatomy fusion module that accounts for the inherent anatomical differences between MR contrasts. Furthermore, HACA3 can be trained and applied to any combination of MR contrasts and is robust to imaging artifacts. HACA3 is developed and evaluated on diverse MR datasets acquired from 21 sites with varying field strengths, scanner platforms, and acquisition protocols. Experiments show that HACA3 achieves state-of-the-art harmonization performance under multiple image quality metrics. We also demonstrate the versatility and potential clinical impact of HACA3 on downstream tasks including white matter lesion segmentation for people with multiple sclerosis and longitudinal volumetric analyses for normal aging subjects. Code is available at https://github.com/lianruizuo/haca3.

Copyright © 2023 The Authors. Published by Elsevier Ltd.. All rights reserved.","","Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society","","10.48550/arxiv.2212.06065","https://consensus.app/papers/haca3-a-unified-approach-for-multisite-mr-image-zuo-liu/45ca713fc2215cb78d8fdddd6e4cd293/"
"Deep learning‐based convolutional neural network for intramodality brain MRI synthesis","Our U-Net model accurately performs image-to-image translation across brain MRI contrasts, potentially improving clinical decision-making and diagnosis of brain cancer patients.","A. Osman, N. Tamam",2022,41,"Purpose: The existence of multicontrast magnetic resonance (MR) images increases the level of clinical information available for the diagnosis and treatment of brain cancer patients. However, acquiring the complete set of multicontrast MR images is not always practically feasible. In this study, we developed a state-of-the-art deep learning convolutional neural network (CNN) for image-to-image translation across three standards MRI contrasts for the brain.

Methods: BRATS'2018 MRI dataset of 477 patients clinically diagnosed with glioma brain cancer was used in this study, with each patient having T1-weighted (T1), T2-weighted (T2), and FLAIR contrasts. It was randomly split into 64%, 16%, and 20% as training, validation, and test set, respectively. We developed a U-Net model to learn the nonlinear mapping of a source image contrast to a target image contrast across three MRI contrasts. The model was trained and validated with 2D paired MR images using a mean-squared error (MSE) cost function, Adam optimizer with 0.001 learning rate, and 120 epochs with a batch size of 32. The generated synthetic-MR images were evaluated against the ground-truth images by computing the MSE, mean absolute error (MAE), peak signal-to-noise ratio (PSNR), and structural similarity index (SSIM).

Results: The generated synthetic-MR images with our model were nearly indistinguishable from the real images on the testing dataset for all translations, except synthetic FLAIR images had slightly lower quality and exhibited loss of details. The range of average PSNR, MSE, MAE, and SSIM values over the six translations were 29.44-33.25 dB, 0.0005-0.0012, 0.0086-0.0149, and 0.932-0.946, respectively. Our results were as good as the best-reported results by other deep learning models on BRATS datasets.

Conclusions: Our U-Net model exhibited that it can accurately perform image-to-image translation across brain MRI contrasts. It could hold great promise for clinical use for improved clinical decision-making and better diagnosis of brain cancer patients due to the availability of multicontrast MRIs. This approach may be clinically relevant and setting a significant step to efficiently fill a gap of absent MR sequences without additional scanning.

© 2022 The Authors. Journal of Applied Clinical Medical Physics published by Wiley Periodicals, LLC on behalf of The American Association of Physicists in Medicine.","","Journal of Applied Clinical Medical Physics","2","10.1002/acm2.13530","https://consensus.app/papers/deep-learningbased-convolutional-neural-network-for-osman-tamam/7c9666888c445c2d9d3c512a5ad0c66b/"
